Price,Close,High,Low,Open,Volume
Ticker,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA
Date,,,,,
2023-08-02,12.689008712768555,12.807045487022215,12.528814799045417,12.60469604196004,22855900
2023-08-03,12.334896087646484,13.026257054730461,12.267446276421959,12.714301476800737,63225600
2023-08-04,12.402345657348633,12.562538754871,12.259014610271441,12.36018932513796,22648600
2023-08-07,12.377052307128906,12.436070690392627,12.259014736536296,12.436070690392627,15395800
2023-08-08,12.225289344787598,12.377051814644425,12.191564440826651,12.208426490774556,15367000
2023-08-09,12.124114990234375,12.225289705099101,12.04823375306954,12.191564800144192,19585700
2023-08-10,12.115683555603027,12.326464412459165,12.073527223418768,12.208426843156271,9563200
2023-08-11,12.107253074645996,12.1999971735132,12.039803259505423,12.17470288978657,15263200
2023-08-14,12.081957817077637,12.183132524900246,11.980783109255027,12.107251293017013,17113600
2023-08-15,11.972352981567383,12.15784036806646,11.955490930466661,12.115684034216871,14551800
2023-08-16,11.955490112304688,12.098821155145458,11.921765208345985,11.972352162251472,39194000
2023-08-17,11.989215850830078,12.107252620869485,11.87117827672548,11.997646474357756,39513800
2023-08-18,12.107253074645996,12.12411593046375,11.94705996470344,11.989216300182603,20322700
2023-08-21,12.065096855163574,12.166271572104474,12.022940522088572,12.140977289820366,18739800
2023-08-22,12.157840728759766,12.233721971127197,12.006078244024902,12.031372527524189,27151300
2023-08-23,12.183134078979492,12.301171655195281,12.090390785994718,12.090390785994718,27857800
2023-08-24,11.963921546936035,12.216858745819362,11.938628068267258,12.183133839572598,26953700
2023-08-25,11.795297622680664,12.014509926597754,11.525498358822853,12.014509926597754,55070100
2023-08-28,11.980783462524414,12.065096123561878,11.685689952958418,11.820590371431384,35551200
2023-08-29,12.022939682006836,12.090389488587832,11.947058448586935,12.03137110884574,14591500
2023-08-30,11.955490112304688,12.090389728139499,11.947058685298728,11.997645639204215,25045400
2023-08-31,11.668828964233398,11.938628217581853,11.55922281654429,11.921766166280173,44974800
2023-09-01,11.694122314453125,11.803728460935348,11.542359834083095,11.677260263337116,20325700
2023-09-04,11.685689926147461,11.786864636721212,11.601378069368563,11.727846256569471,23856400
2023-09-05,11.812158584594727,11.98078309746649,11.651964694317725,11.71941449946643,37047300
2023-09-06,11.786864280700684,11.938626744009909,11.77000223148027,11.79529570734344,26849800
2023-09-08,11.550790786743164,11.77000307069432,11.550790786743164,11.761571643450393,23119600
2023-09-11,11.694122314453125,11.736278648340932,11.559222689264294,11.62667250185871,14866900
2023-09-12,11.559223175048828,11.719416285676495,11.51706683938937,11.677260754082262,18024700
2023-09-13,11.500204086303711,11.651965759732297,11.491772658872907,11.559222470188985,32126800
2023-09-14,11.407459259033203,11.567653153655021,11.382165782432699,11.533928250165975,21983200
2023-09-15,11.314716339111328,11.474909434816652,11.297853484792267,11.42432247998977,39186700
2023-09-18,11.289422988891602,11.365303421986841,11.221973178985726,11.289422988891602,19997200
2023-09-19,11.323148727416992,11.42432344972395,11.213542577234819,11.221974005110036,25991300
2023-09-20,11.35687255859375,11.432753794149221,11.34000970444136,11.35687255859375,15729400
2023-09-21,11.162954330444336,11.29785395434279,11.129229424469724,11.230404142393562,29875400
2023-09-22,11.061779022216797,11.19667863891643,11.044916972161912,11.171385161801533,16325200
2023-09-25,11.146092414855957,11.23883570639619,11.053348319250532,11.087073225634724,20229100
2023-09-26,10.994329452514648,11.1545225498064,10.960604547607693,11.120797644899444,29094600
2023-09-27,10.935311317443848,11.04491746188847,10.842567223801764,11.028054607020755,32045700
2023-09-28,10.943742752075195,11.070211760762717,10.901587219911258,10.96060560819296,43949200
2023-09-29,11.05334758758545,11.10393534584573,11.002760633390308,11.028054110487878,22876500
2023-10-02,11.03648567199707,11.087072626808501,10.943741581400865,11.05334772224583,17955500
2023-10-03,11.00275993347168,11.20510934551047,10.910015849905085,11.011191359989567,31511700
2023-10-04,11.137660026550293,11.188247783795667,10.99432898576438,11.002760412649462,15774100
2023-10-05,10.867860794067383,11.15452207145061,10.84256651342303,11.112366545173602,31497000
2023-10-06,11.120797157287598,11.196678391017386,10.741391792703784,10.791979549878683,40211800
2023-10-09,11.103935241699219,11.120797291584399,11.002760530192738,11.087072387748906,15459500
2023-10-10,11.171384811401367,11.264128093957106,11.061778675254521,11.103935005167171,18408800
2023-10-11,11.205109596252441,11.238834499013585,11.120796937317031,11.171384693491298,14042700
2023-10-13,10.943742752075195,11.196679965385004,10.893155791852376,11.196679965385004,24773100
2023-10-16,10.969035148620605,11.028053526745996,10.918447393038058,10.969035148620605,12422600
2023-10-17,10.791980743408203,10.952173851392407,10.775117887796597,10.876292609270601,21533400
2023-10-18,10.564335823059082,10.775116669990393,10.530610919712677,10.741391766643988,41902700
2023-10-19,10.55590534210205,10.699235580201238,10.547473915135884,10.589630245901589,15581700
2023-10-20,10.530611038208008,10.648648603281199,10.454729803808466,10.496886134482114,14749400
2023-10-23,10.522180557250977,10.59806179847258,10.437868692388799,10.505318505904622,11943700
2023-10-24,10.55590534210205,10.614923722734959,10.395711446005397,10.606492295768792,32749400
2023-10-25,10.48845386505127,10.57276651962617,10.454728964034322,10.547473044879725,14976900
2023-10-26,10.648649215698242,10.775117410927404,10.463161832505655,10.522180216403907,25002300
2023-10-27,10.36198616027832,10.648648234041016,10.353554733622923,10.60649190482913,27730300
2023-10-30,10.421005249023438,10.530611390818967,10.370418293773291,10.45473015387859,26078000
2023-10-31,10.842568397521973,10.91844964451057,10.631787513249314,10.91844964451057,64210200
2023-11-01,10.952173233032227,10.96060466036199,10.75825522883864,10.876291995194679,40528700
2023-11-03,11.205109596252441,11.272559401774728,11.002760179685584,11.044916509153289,27360200
2023-11-06,11.39059829711914,11.441185255151185,11.20511090818284,11.247267242586345,20562100
2023-11-07,11.441184043884277,11.458046897486506,11.34844076126737,11.38216566440671,20565500
2023-11-08,11.415891647338867,11.533929221523916,11.399029596206827,11.458047981266755,29629700
2023-11-09,11.30628490447998,11.441184522682715,11.272559999929296,11.441184522682715,18858200
2023-11-10,11.255699157714844,11.373735934278068,11.255699157714844,11.340011026107828,15140600
2023-11-13,11.323148727416992,11.42432344972395,11.2051111493596,11.272560964230905,16559200
2023-11-14,11.550790786743164,11.59294711889764,11.340009930035935,11.382166262190411,24478100
2023-11-16,11.525497436523438,11.635103579711021,11.424322720673015,11.550790914469752,45772900
2023-11-17,11.466479301452637,11.584516070466782,11.399029489425931,11.559222591973063,36893100
2023-11-20,11.466479301452637,11.559222591973063,11.356873155892943,11.474909924907088,15170600
2023-11-21,11.331578254699707,11.483340725507093,11.264128446355345,11.46647867545357,17196400
